Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
3-Zimmer Wohnung im Herzen von Köpenik!;1.670,58;1.484,96;185,62;4.454,88;92;3;Erdgeschoss;12555 Berlin Köpenick;;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;;;https://www.immowelt.de/expose/2dzwn5r
Modernes Studioappartment in Berlin Mitte;;1.300;150;;37;1;3. Geschoss;10178 Berlin Mitte;Bad mit Dusche;;1966;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;10.04.2024;C;;;https://www.immowelt.de/expose/2daqn5r
Smarte 1-Zimmerwohnung in Adlershof - Future Living Berlin;;608,14;190;3 x Kaltmiete;41;1;2. Geschoss;12489 Berlin Adlershof;Bad mit Dusche, barrierefrei;;2020;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2024;A;;40,30;https://www.immowelt.de/expose/2d96n5r
Dachgeschossneubau mit 360°Blick über Berlin;6.030;5.150;880;15.450,00;220;5;5. Geschoss;10627 Berlin Charlottenburg;Gäste-WC;;;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;;;;;https://www.immowelt.de/expose/2dhdk5r
WUNDERSCHÖNE - 2 ZIMMER WOHNUNG - EINBAUKÜCHE - BALKON SÜD-/WESTAUSRICHTUNG - AB 15.04.2024;1.740;1.530;110;4.590,00;54;2;5. Geschoss;10249 Berlin Friedrichshain;;;2024;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.04.2024;B;Fernwärme;57,00;https://www.immowelt.de/expose/2dhyj5r
WUNDERSCHÖNE - 2 ZIMMER WOHNUNG - BALKON SÜD-/WESTAUSRICHTUNG - OHNE EINBAUKÜCHE - AB 15.04.2024;1.682;1.472;110;4.416,00;54;2;3. Geschoss;10249 Berlin Friedrichshain;;;2024;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.04.2024;B;Fernwärme;57,00;https://www.immowelt.de/expose/2dgyj5r
[TAUSCHWOHNUNG] 2-Zimmer hübscher Altbau gegen größere Wohnung;;750;149;;57;2;3. Geschoss;13189 Berlin Pankow;Bad mit Wanne;;;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dklj5r
Top-Living mit Concierge in historischem Berlin-Mitte;;1.584;305;3 Monatsmieten;40;1;2. Geschoss;10117 Berlin Mitte;Bad mit Fenster und Dusche;Zustand:, Neubau;2024;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;;;https://www.immowelt.de/expose/2dghj5r
Helle Altbauwohnung 122m2 nähe Landwehrkanal mit Balkon;;2.493;207;3 Monatsmieten;122;4;2. Geschoss;10961 Berlin Kreuzberg;Bad mit Wanne und Dusche;Zustand:, Altbau (bis 1945);1907;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2024;;;;https://www.immowelt.de/expose/2ddbj5r
[TAUSCHWOHNUNG] Apartment Neukölln / Tempelhof- Schöneberg;;500;275;;50;2;1. Geschoss (Erdgeschoss);12099 Berlin Tempelhof;Bad mit Wanne;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d6lg5r
[TAUSCHWOHNUNG] Wunderschöne Kreuzbergwohnung gegen Wohnung im Prenzlberg;;950;350;;107;3;4. Geschoss;10997 Berlin Kreuzberg;;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dpkg5r
[TAUSCHWOHNUNG] Helle 2 Zi-Whg in FHain gg. 2 Zi-Whg. in KB/NK;;766;146;;80;2;4. Geschoss;10245 Berlin Friedrichshain;Bad mit Wanne;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d9kg5r
[TAUSCHWOHNUNG] Biete tolle 3 Zi Altbau PBerg (Stuck/Dielenboden);;1.200;200;;110;3;1. Geschoss;10437 Berlin Prenzlauer Berg;Bad mit Wanne;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d3kg5r
Hübsche Pärchenwohnung mit Aufzug!;878;749;69;2.247,00;53;2;3. Geschoss;10315 Berlin Friedrichsfelde;;;1966;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;B;KWK fossil;;https://www.immowelt.de/expose/2dptf5r
Neues Zuhause für Ihre Familie mit Aufzug und Balkon!;1.265;1.049;120;3.147,00;78;4;1. Geschoss;13051 Berlin Neu-Hohenschönhausen;;;1984;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;D;Fernwärme;;https://www.immowelt.de/expose/2dmtf5r
Pärchenwohnung mit Aufzug und Duschbad!;878;749;69;2.247,00;53;2;9. Geschoss;10315 Berlin Friedrichsfelde;;;1966;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;B;KWK fossil;;https://www.immowelt.de/expose/2dltf5r
Dufte Singlebude mit Aufzug und Balkon!;641;539;57;1.617,00;37;1;11. Geschoss;13051 Berlin Neu-Hohenschönhausen;;;1984;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.04.2024;D;Fernwärme;;https://www.immowelt.de/expose/2dktf5r
Helles Apartement für die kleine Familie - keine WGs!;1.376;1.099;133;3.297,00;73;3;2. Geschoss;13088 Berlin Weißensee;;;1996;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.04.2024;D;Fernwärme;;https://www.immowelt.de/expose/2d3ge5r
Tolles Familienapartment mit Balkon und Wannenbad - keine WGs!;1.376;1.099;133;3.297,00;73;3;1. Geschoss;13088 Berlin Weißensee;;;1996;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.04.2024;D;Fernwärme;;https://www.immowelt.de/expose/2dfee5r
Möblierte Einheiten im Neubau: super schick und nagelneu;;750;100;2.250,00;20;1;;12157 Berlin Schöneberg;Bad mit Dusche;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;A;;40,00;https://www.immowelt.de/expose/2d42c5r
Erster Monat mietfrei: exklusive 4-Zimmer Wohnung  in begehrter Lage;3.230;2.700;530;8100;131;4;2. Geschoss;10437 Berlin Prenzlauer Berg;;Zustand:, Neubau;2020;Verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;B;Fernwärme;70,60;https://www.immowelt.de/expose/2dr2b5r
[TAUSCHWOHNUNG] 3-Zi/Kü/B+WC/AK-Neubau, Balkon direkt am Gleisdreieckpark;;1.400;350;;85;3;5. Geschoss;10785 Berlin Tiergarten;Bad mit Wanne und Dusche, Gäste-WC, barrierefrei;;;Verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2deua5r
[TAUSCHWOHNUNG] 2 Zi Altbau bei hasenheide gegen 3-4 Zi;;900;250;;80;2;3. Geschoss;10967 Berlin Neukölln;Bad mit Wanne;;;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d3ua5r
[TAUSCHWOHNUNG] Schöne 3-Zimmer Wohnung in Charlottenburg;;717;140;;98;3;1. Geschoss;14057 Berlin Charlottenburg;Bad mit Wanne;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dqta5r
[TAUSCHWOHNUNG] NEU renovierte/ möblierte 3 Zi. Whg BERLIN gegen 3-4 Zi.KÖLN;;2.450;450;;96;3;4. Geschoss;10625 Berlin Charlottenburg;Gäste-WC;;;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dksa5r
[TAUSCHWOHNUNG] Tausche 2,5 Wohnung in Mitte gegen 3+ Wohnung in der Nähe;;700;120;;59;2;Erdgeschoss;10115 Berlin Mitte;;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2drra5r
Helle 1,5-Zimmer-Wohnung mit Südbalkon und EBK im Ludwigspark Buch, Berlin;;740;350;2220;64;1;1. Geschoss;13125 Berlin Buch;Bad mit Dusche;;1900;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;;;https://www.immowelt.de/expose/2dxm95r
"Schick &amp; stilvoll eingerichtet: 1-Zimmer-Wohnung möbliert in Berlin Charlottenburg nähe Lietzensee";875;550;325;1650;37;1;4. Geschoss (Dachgeschoss);10627 Berlin Charlottenburg;Bad mit Dusche, Bad/WC getrennt;;1898;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;;;https://www.immowelt.de/expose/2d5w85r
Schöne möblierte und zentrale Wohnung Nähe U-Bahn;1.380;1.200;110;2800;60;2;5. Geschoss;12099 Berlin Tempelhof;Bad mit Wanne;;;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;;;https://www.immowelt.de/expose/2dzw65r
[TAUSCHWOHNUNG] 2ZKB in Alt-Treptow oder 2ZKB in Fhain;;950;150;;62;2;2. Geschoss;12435 Berlin Plänterwald;;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dml65r
Geräumige 2-Zimmer-Wohnung ab sofort verfügbar.;;1.100;15;1750;84;2;;10969 Berlin Kreuzberg;;;2002;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d5665r
Wohnen in der Europacity - QH Straight mit EBK und und modernem Sichtbeton;;1.539,34;376,98;4.618,00;62;2;5. Geschoss;10557 Berlin Moabit;;;2022;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;C;;89,00;https://www.immowelt.de/expose/2dtd55r
Vollmöblierte Wohnung in zentraler Lage - Inklusive W-LAN und Strom;;929;271;2.787,00;27;1;1. Geschoss;13407 Berlin Reinickendorf;Bad mit Dusche, barrierefrei;;2021;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;;56,00;https://www.immowelt.de/expose/2dta55r
Schöne Wohnung in Weißensee;1.149;899;100;2697;82;3;1. Geschoss;13086 Berlin Weißensee;Bad mit Wanne;Zustand:, Neubau;2000;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2000;B;Gas;;https://www.immowelt.de/expose/2dwk45r
Schöne 1-Zimmerwohnung in toller Lage im Prenzlauer Berg sucht Mieter*in;950;864;86;2592,00;39;1;Erdgeschoss;10437 Berlin Prenzlauer Berg;Bad mit Dusche;Zustand:, Altbau (bis 1945);1910;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dc645r
Schöne 2-Zimmer Wohnung - Ideal für Pärchen;;672,01;150;3 mal Netto Miete (kalt);71;2;3. Geschoss;12487 Berlin Johannisthal;Bad mit Fenster und Wanne;;1905;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;31.03.2024;F;;172,00;https://www.immowelt.de/expose/2dr935r
Einzigartiges Penthouse mit 4 Balkonen in Berlin Pankow;3.853,59;.;;3 netto Monatsmieten;168;4;4. Geschoss;13156 Berlin Niederschönhausen;Bad mit Wanne und Dusche, Gäste-WC;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ca. 3 Monate nach Abschluss des Mietvertrages;;Gas;30,00;https://www.immowelt.de/expose/2d4q25r
!! 2-Zimmer-Wohnung wartet auf Bezug !! - Mitten in der City - mitten in Friedrichshain -;1.750;1.400;350;4200;62;2;6. Geschoss;10243 Berlin Mitte;Bad mit Fenster und Wanne;;;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;;;https://www.immowelt.de/expose/2d9qh5s
beautiful 2-zimmer-wohnung in Alt-Moabit (from April 2024);1.645;1.250;395;3.750,00;58;2;4. Geschoss (Erdgeschoss);10557 Berlin Moabit;Bad mit Dusche;Zustand:, Altbau (bis 1945);1908;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dml25r
Vollausgestatte und möblierte Wohnung im hippen Friedrichshain;1.970;1.610;360;2 Monatsmieten;52;2;4. Geschoss;10245 Berlin Friedrichshain;Bad mit Dusche;Zustand:, Altbau (bis 1945);1900;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;neuwertig;;;;https://www.immowelt.de/expose/2d4yz5q
Tolle 2-Zimmer Wohnung in wunderschönen Charlottenburg;1.980;1.620;360;2 Monatsmieten;58;2;3. Geschoss;10717 Berlin Wilmersdorf;Bad mit Dusche;;1960;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;neuwertig;;;;https://www.immowelt.de/expose/2dkvz5q
Wunderschöne Wohnung in Friedrichshain umgeben von Bars;2.010;1.650;360;2 Monatsmieten;57;2;2. Geschoss;10245 Berlin Friedrichshain;Bad mit Dusche;Zustand:, Altbau (bis 1945);1900;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;neuwertig;;;;https://www.immowelt.de/expose/2dstz5q
Stilvolle 2 Zimmer Wohnung ruhig gelegen in Charlottenburg;1.880;1.520;360;2 Monatsmieten;57;2;3. Geschoss;14199 Berlin Schmargendorf;Bad mit Dusche;;1960;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;neuwertig;;;;https://www.immowelt.de/expose/2dzpz5q
Super schöne renovierte 3 Zimmer Wohnung in bester Lage in Friedrichshain;2.985;2.510;475;2 Monatsmieten;115;3;4. Geschoss;10249 Berlin Friedrichshain;Bad mit Dusche;Zustand:, Altbau (bis 1945);1900;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;neuwertig;;;;https://www.immowelt.de/expose/2dqlz5q
Moderne 2 Zimmer-Wohnung zentral gelegen in Mitte;2.060;1.700;360;2 Monatsmieten;65;2;4. Geschoss;10969 Berlin Kreuzberg;Bad mit Dusche;;1960;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;neuwertig;;;;https://www.immowelt.de/expose/2dcgz5q
Stilvolles Studiapartment im wunderschönen Charlottenburg;1.525;1.210;315;2 Monatsmieten;42;1;1. Geschoss;14199 Berlin Schmargendorf;Bad mit Dusche;;2000;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;neuwertig;;;;https://www.immowelt.de/expose/2d7bz5q
bright studio near Potsdamer Platz and Tiergarten;1.250;810;440;2.730,00;35;1;3. Geschoss;10785 Berlin Tiergarten;Bad mit Dusche;;;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dz5z5q
Super schöne renovierte 2 Zimmer Wohnung- vollmöbliert und ausgestattet;1.570;1.210;360;2 Monatsmieten;65;2;2. Geschoss;12053 Berlin Neukölln;Bad mit Dusche;;1960;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;neuwertig;;;;https://www.immowelt.de/expose/2dx5z5q
2-Zimmer-Stuckaltbau-Wohnung mit Balkon - Vollmöbliert;170;550;125;1100;47;2;;12347 Berlin Britz;Bad mit Dusche;Zustand:, Neubau, Parkhaus, Sicherheitstechnik:, Kartenzugangskontrolle, Serviceleistungen:, Reinigungsservice, Wachdienst;1888;Verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dmuy5q
** Teilgewerblich ** Teilsaniert ** In Gänze sehr charmant ** Mit Teilgewerbezuschlag **;1.910,40;1.400,40;510;3 Monatskaltmieten;108;3;1. Geschoss;14163 Berlin Zehlendorf;Bad mit Fenster, Wanne und Dusche;;1913;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Auf Wunsch ab sofort.;E;Gas;;https://www.immowelt.de/expose/2dzbx5q
Wunderschöne 3,5-Zimmer Wohnung mit Einbauküche und Gäste WC!;;1.750;160;5.550,00;79;3;3. Geschoss;13403 Berlin Reinickendorf;Bad mit Fenster und Wanne, Gäste-WC;;1969;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;Keine Angaben;150,20;https://www.immowelt.de/expose/2dkww5q
Moderne und vollständig möblierte Neubauwohnung im Herzen von Berlin mit Balkon und Aussicht;2.050;1.790;260;4000;45;2;3. Geschoss;10117 Berlin Mitte;Bad mit Dusche;Zustand:, Neubau, Sicherheitstechnik:, Alarmanlage;2016;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;;;https://www.immowelt.de/expose/2dndu5q
HOCHWERTIG MÖBLIERTE WOHNUNG IM WAVE | SPREEBLICK | FRIEDRICHSHAIN;1.490;1.330;160;3 Nettokaltmieten;43;2;3. Geschoss;10245 Berlin Friedrichshain;Bad mit Dusche;Zustand:, Neubau;2019;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.04.2024;B;FERN;73,00;https://www.immowelt.de/expose/2dzcu5q
Vollmöbilierte Altbau Wohnung in Prenzlauer Berg zu vermieten;1.650;;;3000;58;2;2. Geschoss;10439 Berlin Pankow;Bad mit Wanne;Zustand:, Altbau (bis 1945);;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d6cu5q
Luxuriöse Maisonette-Atelier-Dachgeschosswohnung nahe am Viktoria-Luise-Platz;;4.900;380;9.980;233;7;5. Geschoss;10777 Berlin Wilmersdorf;Bad mit Fenster, Wanne und Dusche, Gäste-WC, Bidet;;1910;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;;;https://www.immowelt.de/expose/2da8u5q
Parkblick Nähe U-Bahnhof Paracelsus-Bad: Attraktive 3-Zimmer-Wohnung mit Balkon;1.988,10;.;;drei Nettokaltmieten = 4.779,- €;83;3;3. Geschoss (Dachgeschoss);13407 Berlin Reinickendorf;Bad mit Dusche;;2020;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;A;Erdgas, eco-Strom, Strom;30,70;https://www.immowelt.de/expose/2dvfr5q
Lichterfülltes Wohnerlebnis im Erstbezug - Prenzlauer Berg;4.700;.;;3 Kaltmieten;176;4;Dachgeschoss;10437 Berlin Prenzlauer Berg;Bad mit Fenster, Wanne und Dusche, Gäste-WC;;2024;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;01.04.2024;;;;https://www.immowelt.de/expose/2dvar5q
[TAUSCHWOHNUNG] Eine große Wohnung in ruhiger Gegend in Charlottenburg;;1.000;234;;105;4;1. Geschoss;14050 Berlin Westend;;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d79r5q
Urlaubsfeeling: Einfach nur wohlfühlen, 2 Zimmer mit großer Sonnenterrasse;1.234,42;1.047;187,42;3.141,00;62;2;1. Geschoss;13055 Berlin Alt-Hohenschönhausen;Bad mit Dusche;Zustand:, Neubau, Sicherheitstechnik:, Überwachungskamera;2020;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;nach Vereinbarung;A+;Fernwärme;24,00;https://www.immowelt.de/expose/2dstq5q
Möblierte Luxus-Wohnung in begehrter Lage nahe Savignyplatz und Ku'Damm – Erstbezug nach Sanierung;;3.575;100;7.150 €;80;3;Erdgeschoss;10625 Berlin Charlottenburg;Bad mit Fenster, Wanne und Dusche, Gäste-WC, Bad/WC getrennt;Zustand:, Altbau (bis 1945);1893;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Erstbezug nach Sanierung;D;Erdgas E;;https://www.immowelt.de/expose/2dtnq5q
[TAUSCHWOHNUNG] 3-Zimmer Altbauwohnung im Kungerkiez GG 4-Zimmer;;548;134;;77;3;1. Geschoss;12435 Berlin Alt-Treptow;Bad mit Wanne;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dl6q5q
[TAUSCHWOHNUNG] 2 Zim gegen 2 oder 3 Zim;;499;229;;65;2;3. Geschoss;10783 Berlin Schöneberg;Bad mit Wanne;;;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d66q5q
Helle 3-Zimmer-Wohnung - Erstbezug im Neubauobjekt - Bitte alle Hinweise lesen!;1.574,07;1.303,19;142,56;3.090,57;71;3;4. Geschoss;;;;2023;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;A;;47,20;https://www.immowelt.de/expose/2dkup5q
Townhouses im Winsviertel;3.800;3.500;300;;164;5;Erdgeschoss;10405 Berlin Prenzlauer Berg;Gäste-WC;;2024;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;01.05.2024;D;LUFTWP;;https://www.immowelt.de/expose/2dgjp5q
Möblierte Penthouse-Wohnung mit Sauna und Dachterrasse am Hohenzollerndamm;2.930;2.600;110;7.800 €;110;3;5. Geschoss;14193 Berlin Schmargendorf;Bad mit Fenster und Dusche, Gäste-WC;Zustand:, Neubau, Wellness:, Sauna;2022;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;;;https://www.immowelt.de/expose/2dmcp5q
Erstbezug mit Spreeblick;;1.200;127;3.600,00;36;1;3. Geschoss;10997 Berlin Kreuzberg;Bad mit Dusche;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;;;https://www.immowelt.de/expose/2du4p5q
EG-Terrassenwohnung mit Fußbodenheizung und EBK!;1.148;770;378;2.310,00;73;3;Erdgeschoss;13127 Berlin Französisch Buchholz;Bad mit Fenster, Wanne und Dusche, Gäste-WC;Zustand:, Neubau;1996;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;nach Vereinbarung;;;;https://www.immowelt.de/expose/2dten5q
Wohnen am Wasser! Terrassenwohnung auf Wassergrundstück | Nahe Adlershof, BER und Tesla;;1.850;306;5.550,00;81;2;Erdgeschoss;12527 Berlin Grünau;Bad mit Wanne und Dusche;;2023;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;sofort;;;56,00;https://www.immowelt.de/expose/2de7n5q
Großer Balkon, 2 Bäder, wunderschön.;2.108,64;1.720,89;250;5.162,67;91;3;4. Geschoss;;;;2019;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;;51,00;https://www.immowelt.de/expose/2dyrm5q
Möbliertes Juwel im Herzen der Stadt;1.412,29;1.257,29;191,79;3771,87;42;2;3. Geschoss;10557 Berlin Moabit;Bad mit Dusche;;2020;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;;;https://www.immowelt.de/expose/2d8ll5q
ab 01.07. 2024  Top  4-Zimmer-Wohnung im Grünen mit großem Balkon im Wohnpark Berlin-Grünau;.;;546;4.356,00 €;103;4;1. Geschoss;12527 Berlin Grünau;Bad mit Fenster, Wanne und Dusche, Gäste-WC;Zustand:, Neubau, Carport;2018;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;Gas;64,00;https://www.immowelt.de/expose/2dn8l5q
Kernsarnierter Altbau, 3 Zi. + Südbalkon, voll möbliert;2.150;;;;90;3;3. Geschoss;14199 Berlin Schmargendorf;Bad mit Dusche;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2da4l5q
[TAUSCHWOHNUNG] Moderne 2-Zi-Whg am Kanal mit Blick über die Stadt;;580;196;;58;2;4. Geschoss;12059 Berlin Neukölln;Bad mit Wanne;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2ds2l5q
Luxury- 5 OG- Spreeblick- NEUBAU - Balkon- 3 Zimmer- 2 Bäder - 2600€ Warm;;2.248;352;5.200,00;88;3;5. Geschoss;10587 Berlin Westend;barrierefrei;;;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;;;https://www.immowelt.de/expose/2d4uk5q
Luxuriöses Wohnen im Stadtquartier Am Tacheles;4.363;3.800;563;;125;3;;10117 Berlin Mitte;;Wellness:, Swimming-Pool;2023;Verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;nach Vereinbarung;;;25,80;https://www.immowelt.de/expose/2dytk5q
