Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Barrierearme Wohnung in Buckow mit Terrasse ab sofort frei;893,20;617,20;166;1851,60  €;63;2;Erdgeschoss;12349 Berlin Buckow;;;1978;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;F;;;https://www.immowelt.de/expose/2detl5t
Zwingend für 2 Personen mit mittlerem Einkommen, nicht WBS 100 oder 140;;428,94;151,65;1.286,83;62;2;10. Geschoss;13435 Berlin Märkisches Viertel;Bad mit Fenster und Wanne;;1970;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;C;Fernwärme;;https://www.immowelt.de/expose/2dfsl5t
***Coming Soon***-  modernisierte 3-Zimmerwohnung mit Balkon in Reinickendorf;1.426;1.198;228;2.396,00;74;2;1. Geschoss;13409 Berlin Reinickendorf;Bad mit Wanne;;1968;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;E;GAS;130,70;https://www.immowelt.de/expose/2dfrl5t
Kunstvoll möbliertes Wohnen im Dichterviertel;2.700;2.150;550;;132;3;3. Geschoss;10115 Berlin Mitte;Gäste-WC;;2006;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.04.2024;C;;89,30;https://www.immowelt.de/expose/2dygl5t
helle 3  Zimmer-Wohnung in Marienfelde;1.145,34;746,34;219;2239,02;73;3;5. Geschoss;12279 Berlin Marienfelde;Bad mit Wanne;;1984;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;D;Gas;;https://www.immowelt.de/expose/2dvek5t
"Lichtdurchflutete Balkon-Wohnung, nahe dem ""Weißen See""!!!***Eckbadewanne***";979;749;230;;68;2;3. Geschoss;;Bad mit Fenster und Wanne;;1918;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;C;FERN;;https://www.immowelt.de/expose/2dgqj5t
Traum in Südlage - 2 Bäder.;2.189,65;1.766,64;297;5.299,92;105;4;3. Geschoss;;;;2016;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;;67,00;https://www.immowelt.de/expose/2d4bj5t
Erstbezug nach Sanierung. Balkonwohnung;1.056;815,23;144,23;2.445,69;62;2;2. Geschoss;;;;1961;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;D;;;https://www.immowelt.de/expose/2dzah5t
ruhige 2 zimmerwohnung direkt am wald;980;;;2000;70;2;2. Geschoss (Dachgeschoss);12623 Berlin Mahlsdorf;Bad mit Fenster, Wanne und Dusche;Zustand:, Altbau (bis 1945);1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;1.4.24;;;;https://www.immowelt.de/expose/2dmwg5t
[TAUSCHWOHNUNG] Ruhige helle 2 Zimmerwohnung in CHB gegen min. 3 Zimmer;;652;130;;77;2;3. Geschoss;10627 Berlin Charlottenburg;;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2djug5t
Renovierungsbedürftige 2-Zimmer-Dachgeschosswohnung (3.OG ohne Aufzug);827,11;584,11;138;1.752,33;69;2;Dachgeschoss;13583 Berlin Spandau;Bad mit Fenster und Wanne, Gäste-WC;;1940;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.04.2024;D;;103,00;https://www.immowelt.de/expose/2drhg5t
