Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Dachgeschosswohnung mit Stil und Ausblick;1050;790;260;2000;84;2;5; 12489 Berlin, Adlershof;Möbliert, Keller, Altbau, Tiere erlaubt, modernisiert, Energieausweis in Vorbereitung;;1953;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;27.03.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34423368
WG-ONLY - 2ROOMS + SHARED LIVING ROOM - Homely WG in Kreuzberg / Schöneberg;1792;1500;186;2000;65;2.5;2; 10963 Berlin, Kreuzberg;Aufzug, Keller, Neubau, WG geeignet, Behindertengerecht, gepflegt, Energieausweis in Vorbereitung;;2007;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.05.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34306851
Wunderschöne 5 Zimmerwohnung am Bundesplatz!;2897,81;2510,90;386,91;7532,70;143;5;5; 10715 Berlin, Wilmersdorf;Aufzug, Keller, Neubau, renoviert, Energieausweis in Vorbereitung;;1965;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Öl;;https://www.wohnungsboerse.net/immodetail/34419309
Heller Altbau im Herzen Charlottenburgs;1790;1550;240;3580;60;2;4; 10627 Berlin, Charlottenburg;Möbliert, Aufzug, Altbau, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34399077
Charlottenburg-nahe Schlosspark, befristet;1800;1800;;;64.15;2.5;3; 10589 Berlin, Charlottenburg;Möbliert, Keller, Altbau, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1929;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;09.08.2024;D;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33252542
Moderne Single-Apartments-Blick auf den Fernsehturm;850;660;190;1980,00;22.59;1;5; 10243 Berlin, Friedrichshain;Möbliert, Aufzug, Neubau, Erstbezug, Fussbodenheizung, Energieausweis in Vorbereitung;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;;;https://www.wohnungsboerse.net/immodetail/34374031
One bedroom available in a 104msq 3-bedroom shared apartment;766;666;100;1500;12.35;1;3; 10315 Berlin, Lichtenberg;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Behindertengerecht, Teilmöbliert, modernisiert, Fussbodenheizung, Energieausweis in Vorbereitung;;2020;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;"ab sofort
                                        - Objekt ist vermietet";;;;https://www.wohnungsboerse.net/immodetail/34349230
Saniertes, modernes 1-Zimmer-Apartment mit Extra-Küche und Balkon;1100;750;350;2200;38;1;2; 12099 Berlin, Tempelhof;Möbliert, Keller, Altbau, Wohnen auf Zeit, vollständig renoviert, Energieausweis in Vorbereitung;;1920;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.08.2024;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33696460
Sonnige Erdgeschosswohnung mit großer Terrasse in Mitte;1050;820;230;2460;48;2;; 10115 Berlin, Mitte;Möbliert, Aufzug, Keller, Neubau, Tiere erlaubt, Erstbezug, Fussbodenheizung, Verbrauchsausweis;;2016;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;10.04.2024;B;;;https://www.wohnungsboerse.net/immodetail/34297107
Geräumige 1-Zimmer-Erdgeschosswohnung mit EBK und Balkon in der Nähe des Helios Klinikums Berlin-Buch;920;500;420;1500;40;1;; 13125 Berlin, Buch;Keller, Altbau, renoviert, Energieausweis nicht notwendig (Denkmalschutz);;1909;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34276763
Kernsanierte Erstbezugswohnung mit drei Räumen und Einbauküche in Berlin;1600;1400;200;4200;60;3;; 10365 Berlin, Lichtenberg;Keller, Neubau, Erstbezug, Energieausweis in Vorbereitung;;1990;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;ab sofort;;;;https://www.wohnungsboerse.net/immodetail/34283779
Moderne Altbauwohnung direkt am Nollendorfplatz / KaDeWe;950;740;210;1500;35;1.5;5; 10787 Berlin, Schöneberg;Möbliert, Aufzug, Keller, Altbau, gepflegt, Energieausweis in Vorbereitung;;1956;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;08.04.2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34280817
Vermiete Wohnung auf Zeit;1300;1300;;;60;2;1; 12459 Berlin, Oberschöneweide;Möbliert, Wohnen auf Zeit, Energieausweis in Vorbereitung;;1999;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;ab sofort;;;;https://www.wohnungsboerse.net/immodetail/34276698
Möbliertes 1 Zimmerapp. mit Garten/Terrasse;990;890;100;2500;30;1;; 12203 Berlin, Lichterfelde;Möbliert, Neubau, gepflegt, Energieausweis in Vorbereitung;;1970;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;01.04.2024;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34256115
1Zimmer Wohnung am Mauerpark;1050;900;150;2500,00;45;1;1; 10435 Berlin, Prenzlauer Berg;Altbau, Wohnen auf Zeit, teilweise renoviert, Energieausweis nicht notwendig (Denkmalschutz);;1950;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Gas;;https://www.wohnungsboerse.net/immodetail/34255777
Wohnung Untermiete April - sehr zentral - voll eingerichtet;800;750;50;750;36;1;3; 10439 Berlin, Pankow;Möbliert, Altbau, Wohnen auf Zeit, vollständig renoviert, Energieausweis nicht notwendig (Denkmalschutz);;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34251637
Helle 2 Zimmer Whg. für 1 Monat;650;650;;;63;2.5;3; 12101 Berlin, Tempelhof;Möbliert, Neubau, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1959;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;29.02.2024;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34222626
ATTRAKTIV voll möbliert 1-Zimmer mit EBK;820;700;120;1640;30.61;1;2; 13403 Berlin, Reinickendorf;Möbliert, Aufzug, Tiere erlaubt, gepflegt, Energieausweis in Vorbereitung;;1990;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;26.02.2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34189400
Homely Flat in Kreuzberg / Schöneberg;2666;2216;240;5000;115;4.5;1; 10963 Berlin, Kreuzberg;Aufzug, Neubau, WG geeignet, Teilmöbliert, renoviert, Energieausweis in Vorbereitung;;2007;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.06.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34185036
Teilmöbilierte 3-Zimmer-Wohnung, 85 m2 in Schöneberg für 12 Wochen (04.03. bis 26.05.24);;;;;83;3;3; 10823 Berlin, Schöneberg;Aufzug, Neubau, Behindertengerecht, Teilmöbliert, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1993;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;04.03.2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34183855
Helle zentrales Loft Apartment Prenzlauer Berg beim Friedrichshain;1800;1200;600;2400;55;1.5;; 10407 Berlin, Prenzlauer Berg;Möbliert, Altbau, WG geeignet, Tiere erlaubt, Wohnen auf Zeit, renovierungsbedürftig, Strom, Energieausweis in Vorbereitung;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;;;https://www.wohnungsboerse.net/immodetail/34182655
Möblierte Altbauwohnung Seitenflügel SF2 in Charlottenburg;1590;1390;200;2085;44;1.5;2; 10589 Berlin, Charlottenburg;Möbliert, Altbau, Wohnen auf Zeit, teilweise renoviert, Energieausweis in Vorbereitung;;1930;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Gas;;https://www.wohnungsboerse.net/immodetail/34176413
Altbauwohnung möbliert SF4 in Charlottenburg Nord;1590;1390;200;2085;44;1.5;4; 10589 Berlin, Charlottenburg;Möbliert, Altbau, Wohnen auf Zeit, teilweise renoviert, Energieausweis in Vorbereitung;;1930;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Gas;;https://www.wohnungsboerse.net/immodetail/34175580
Möblierte Altbauwohnung im Hinterhof GH3 in Charlottenburg;1590;1338;252;2085;52;2;3; 10589 Berlin, Charlottenburg;Möbliert, Altbau, Wohnen auf Zeit, teilweise renoviert, Energieausweis in Vorbereitung;;1930;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Gas;;https://www.wohnungsboerse.net/immodetail/34175428
WG-ONLY - 2ROOMS + SHARED LIVING ROOM - Homely WG in Kreuzberg / Schöneberg;900;750;93;2000;50;2.5;2; 10963 Berlin, Kreuzberg;Aufzug, Keller, Neubau, WG geeignet, Behindertengerecht, Teilmöbliert, Energieausweis in Vorbereitung;;2007;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.06.2024;;;;https://www.wohnungsboerse.net/immodetail/34137878
LOFT! 2 Zimmerwohnung in Bestlage;1750;1600;150;4800;67;2;3; 10629 Berlin, Charlottenburg;Altbau, modernisiert, Energieausweis in Vorbereitung;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34091504
IKELA - 4 rooms apartment with Terrace and Office in Tiergarten (Berlin);3749;3074;675;1000;111;3;2; 10785 Berlin, Kreuzberg;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;29.01.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34032287
BISAU - 2 rooms apartment with balcony in Prenzlauer Berg;1407;1055;352;1000;60;2;1; 10437 Berlin;Möbliert, Aufzug, Neubau, Tiere erlaubt, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;03.02.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34034392
TAGA - 2 rooms apartment with balcony in Prenzlauer Berg;1515;1140;375;1000;60;2;3; 10437 Berlin, Prenzlauer Berg;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;16.02.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34034444
AGRON - 2 rooms apartment in Kreuzberg (Berlin);1822;1535;287;1000;51;2;3; 10965 Berlin, Kreuzberg;Möbliert, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;03.02.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34034445
ALANIS - 1 room apartment in Schoneberg (Berlin);1813;1218;595;1000;64;2;6; 10783 Berlin, Schöneberg;Möbliert, Aufzug, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;24.02.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34034446
MARCHENA - 1 bedroom apartment in Tiergarten (Berlin);1721;1356;365;1000;74;2;4; 10553 Berlin, Moabit;Möbliert, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;26.02.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34034447
ALOS - 2 bedroom apartment in Wilmersdorf (Berlin);2465;1980;485;1000;97;3;3; 10707 Berlin, Wilmersdorf;Möbliert, Aufzug, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.03.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34034448
ARCOS - 1 bedroom apartment in Tiergarten (Berlin);1458;1103;355;1000;69;2;4; 10553 Berlin, Moabit;Möbliert, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;02.03.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34034449
CORDOBA - 2 bedroom apartment in Friedrichshain (Berlin);2647;2197;450;1000;77;3;5; 10245 Berlin, Friedrichshain;Möbliert, Aufzug, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;22.02.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34034452
DANAKIL - 1 bedroom in Am Köllnischen Park (Berlin);1700;1350;350;1000;49;2;1; 10179 Berlin, Mitte;Möbliert, Aufzug, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;03.03.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34039198
AWBARI - 1 bedroom apartment in Am Köllnischen Park (Berlin);1831;1481;350;1000;55;2;5; 10179 Berlin, Mitte;Möbliert, Aufzug, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;03.03.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34039199
OTIVAR - 1 bedroom apartment in  Genthiner Straße (Berlin);1405;1020;385;1000;50;2;5; 10785 Berlin, Schöneberg;Möbliert, Aufzug, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;04.03.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34039200
AZE - 1 bedroom in Kuno-Fischer-Straße (Berlin);1505;1150;355;1000;45;2;; 14057 Berlin, Charlottenburg;Möbliert, Aufzug, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;05.03.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34039201
ESCALO - 1 bedroom apartment in Güntzelstr (Berlin);1385;1055;330;1000;44;2;; 10717 Berlin, Wilmersdorf;Möbliert, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;06.03.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34039204
Djenne - 2 room apartment in Mitte (Berlin);1635;1280;355;1000;57;2;5; 10179 Berlin, Mitte;Möbliert, Aufzug, Tiere erlaubt, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;31.01.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34032285
LUCENA - Furnished 3 rooms apartment in Charlottenburg;2295;1900;395;1000;78;3;4; 10627 Berlin, Charlottenburg;Möbliert, Tiere erlaubt, renoviert, Energieausweis in Vorbereitung;;2000;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;21.12.2023;;Gas;;https://www.wohnungsboerse.net/immodetail/33776244
SERENA - 2 Rooms apartment with Balcony in Friedrichshain (Berlin);1961;1601;360;1000;60;2;4; 10243 Berlin, Friedrichshain;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;05.01.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/33849169
ADAMUZ - 2 room apartment with terrace in Friedrichshain (Berlin);1930;1600;330;1000;55;2;5; 10249 Berlin, Friedrichshain;Möbliert, Aufzug, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;05.01.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/33849166
Huelva - 2 bedrooms and office in Schöneberg;1800;1600;200;1000;92;3;3; 10827 Berlin, Friedenau;Aufzug, Neubau, Tiere erlaubt, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;08.01.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/33877598
Sublet 1 February - 15 March;1200;1000;200;500;50;1.5;; 10963 Berlin, Kreuzberg;Möbliert, Neubau, Wohnen auf Zeit, gepflegt, Fussbodenheizung, Energieausweis in Vorbereitung;;2016;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;15.01.2024;A;;;https://www.wohnungsboerse.net/immodetail/33902684
möblierte 2-Zimmer-Wohnung in Berlin - Charlottenburg;1300;1050;250;3750;47.6;2;2; 14055 Berlin, Charlottenburg;Möbliert, Aufzug, Keller, teilweise renoviert, Energieausweis in Vorbereitung;;1975;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.02.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/33967706
Ökologischer Neubau Wohnung am Wilhelmsruher See Nah zum Zentrum, mitten im Grünen. Zeitlich begrenzt;1700;1200;500;3400;64;2;1; 13158 Berlin, Wilhelmsruh;Aufzug, Neubau, Tiere erlaubt, Behindertengerecht, Teilmöbliert, Wohnen auf Zeit, Erstbezug, Erdwärme, Energieausweis in Vorbereitung;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;;;https://www.wohnungsboerse.net/immodetail/33942164
Wohnung - Berlin - 10115 - 55 qm;1880;1500;380;3000;55;2;; 10115 Berlin, Mitte;Möbliert, Neubau, gepflegt, Energieausweis in Vorbereitung;;1955;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;ab sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/33954089
Tannhaus Apartments - Cedar Patio;1535;1535;;;40;1;; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Behindertengerecht, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878237
Tannhaus Apartments - Fir Classic;1385;1385;;;30;2;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878238
Tannhaus Apartments - Fir Classic Balcony;1445;1445;;;34;2;2; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878239
Tannhaus Apartments - Fir Superior;1525;1525;;;40;2;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878240
Tannhaus Apartments - Sequioa Classic;1825;1825;;;52;2;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878241
Tannhaus Apartments - Sequioa Classic Balcony;1885;1885;;;50;2;2; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Behindertengerecht, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878242
Tannhaus Apartments - Sequioa Superior;2325;2325;;;57;3;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878244
Tannhaus Apartments - Sequioa Superior Balcony;2485;2485;;;67;3;2; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Behindertengerecht, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878245
Tannhaus Apartments - Fir Superior Balcony;1585;1585;;;42;2;2; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33876032
Tannhaus Apartments - Pine Classic Balcony;1225;1225;;;27;1;1; 12055 Berlin, Neukölln;Möbliert, Keller, Neubau, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878232
Tannhaus Apartments - Pine Superior Balcony;1385;1385;;;31;1;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Behindertengerecht, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878233
Tannhaus Apartments - Pine Superior;1325;1325;;;31;1;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878234
Tannhaus Apartments - Cedar Balcony;1485;1485;;;40;1;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Behindertengerecht, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878236
Voll möbliertes Ein-Zimmer- Appartement im Herzen von Berlin;820;670;150;1700;25;1;1; 13353 Berlin, Wedding;Möbliert, Keller, Altbau, Tiere erlaubt, Energieausweis in Vorbereitung;;1990;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;26.01.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/33933744
12 qm WG-Zimmer in Friedrichshain (ab Jan 24);490;450;40;500;12;1;4; 10247 Berlin, Friedrichshain;Möbliert, WG geeignet, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1953;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33920117
Sonnige 2-Zimmer-Altbauwohnung in Schöneberg;1900;1600;120;1600;70;2;3; 10829 Berlin, Schöneberg;Möbliert, Altbau, Wohnen auf Zeit, saniert, Energieausweis in Vorbereitung;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;ab sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/33918567
Zimmer in Bergmannstraße;370;370;;;16;2;2; 10961 Berlin, Kreuzberg;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Teilmöbliert, Energieausweis in Vorbereitung;;2019;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Verfügbar;04.02.2024;;;;https://www.wohnungsboerse.net/immodetail/33007325
